CONTAINER_ID   NAME                CPU_%     MEM_USAGE/LIMIT     MEM_%     NET_I/O          BLOCK_I/O         PIDS
32a44ec76e17   mongo_destination   0.65     92.47MiB/13.59GiB   0.66     738kB/1.36MB   21.7MB/28.1MB   36
79d6783ef51b   firefox-15.0        61.93    69.36MiB/13.59GiB   0.50     0B/0B          0B/27.7MB       20
55778b07e062   kind_hopper         0.04     5.301MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   1.80     92.47MiB/13.59GiB   0.66     740kB/1.36MB   21.7MB/28.1MB   36
79d6783ef51b   firefox-15.0        46.98    70.35MiB/13.59GiB   0.51     0B/0B          0B/29.7MB       20
55778b07e062   kind_hopper         0.04     5.301MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.63     92.47MiB/13.59GiB   0.66     742kB/1.36MB   21.7MB/28.2MB   36
79d6783ef51b   firefox-15.0        72.16    69.66MiB/13.59GiB   0.50     0B/0B          0B/31.8MB       20
55778b07e062   kind_hopper         0.04     5.301MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.53     92.47MiB/13.59GiB   0.66     744kB/1.36MB   21.7MB/28.2MB   36
79d6783ef51b   firefox-15.0        63.99    70.71MiB/13.59GiB   0.51     0B/0B          0B/33.8MB       20
55778b07e062   kind_hopper         0.03     5.305MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.58     92.47MiB/13.59GiB   0.66     746kB/1.36MB   21.7MB/28.2MB   36
79d6783ef51b   firefox-15.0        1.47     71.29MiB/13.59GiB   0.51     0B/0B          0B/33.8MB       20
55778b07e062   kind_hopper         0.06     5.309MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.68     92.47MiB/13.59GiB   0.66     748kB/1.36MB   21.7MB/28.2MB   36
79d6783ef51b   firefox-15.0        16.89    72.98MiB/13.59GiB   0.52     0B/0B          0B/36.2MB       20
55778b07e062   kind_hopper         0.04     5.309MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.77     92.47MiB/13.59GiB   0.66     749kB/1.36MB   21.7MB/28.3MB   36
79d6783ef51b   firefox-15.0        13.87    74.3MiB/13.59GiB    0.53     0B/0B          0B/37.3MB       19
55778b07e062   kind_hopper         0.04     5.309MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.64     92.59MiB/13.59GiB   0.67     752kB/1.36MB   21.7MB/28.3MB   36
79d6783ef51b   firefox-15.0        20.36    74.02MiB/13.59GiB   0.53     0B/0B          0B/38.3MB       19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.76     92.47MiB/13.59GiB   0.66     753kB/1.36MB   21.7MB/28.3MB   36
79d6783ef51b   firefox-15.0        15.31    73.45MiB/13.59GiB   0.53     0B/0B          0B/41.4MB       19
55778b07e062   kind_hopper         0.05     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   1.05     92.47MiB/13.59GiB   0.66     755kB/1.36MB   21.7MB/28.5MB   36
79d6783ef51b   firefox-15.0        19.63    73.2MiB/13.59GiB    0.53     0B/0B          0B/42.4MB       19
55778b07e062   kind_hopper         0.03     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.66     92.39MiB/13.59GiB   0.66     757kB/1.37MB   21.7MB/28.6MB   36
79d6783ef51b   firefox-15.0        23.98    73.26MiB/13.59GiB   0.53     0B/0B          0B/45.5MB       19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.71     92.39MiB/13.59GiB   0.66     758kB/1.37MB   21.7MB/28.6MB   36
79d6783ef51b   firefox-15.0        8.89     77.16MiB/13.59GiB   0.55     0B/0B          0B/45.5MB       19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.73     92.39MiB/13.59GiB   0.66     760kB/1.37MB   21.7MB/28.6MB   36
79d6783ef51b   firefox-15.0        12.74    74.84MiB/13.59GiB   0.54     0B/0B          0B/46.8MB       19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.66     92.39MiB/13.59GiB   0.66     762kB/1.37MB   21.7MB/28.6MB   36
79d6783ef51b   firefox-15.0        25.18    74.53MiB/13.59GiB   0.54     0B/0B          0B/49.9MB       19
55778b07e062   kind_hopper         0.02     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.69     92.39MiB/13.59GiB   0.66     763kB/1.37MB   21.7MB/28.6MB   36
79d6783ef51b   firefox-15.0        18.01    75.38MiB/13.59GiB   0.54     0B/0B          0B/52MB         19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.53     92.39MiB/13.59GiB   0.66     765kB/1.37MB   21.7MB/28.7MB   36
79d6783ef51b   firefox-15.0        14.87    76.14MiB/13.59GiB   0.55     0B/0B          0B/54MB         19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.66     92.39MiB/13.59GiB   0.66     767kB/1.37MB   21.7MB/28.7MB   36
79d6783ef51b   firefox-15.0        10.51    75.6MiB/13.59GiB    0.54     0B/0B          0B/55.1MB       19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.68     92.39MiB/13.59GiB   0.66     769kB/1.37MB   21.7MB/28.7MB   36
79d6783ef51b   firefox-15.0        16.16    73.88MiB/13.59GiB   0.53     0B/0B          0B/57.1MB       19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.57     92.39MiB/13.59GiB   0.66     771kB/1.37MB   21.7MB/28.8MB   36
79d6783ef51b   firefox-15.0        3.22     75.92MiB/13.59GiB   0.55     0B/0B          0B/57.1MB       19
55778b07e062   kind_hopper         0.04     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.68     92.39MiB/13.59GiB   0.66     772kB/1.37MB   21.7MB/28.8MB   36
79d6783ef51b   firefox-15.0        15.89    81.8MiB/13.59GiB    0.59     0B/0B          0B/58.5MB       19
55778b07e062   kind_hopper         0.03     5.312MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   1.54     92.39MiB/13.59GiB   0.66     775kB/1.37MB   21.7MB/28.9MB   36
79d6783ef51b   firefox-15.0        18.75    81.92MiB/13.59GiB   0.59     0B/0B          0B/61.5MB       19
55778b07e062   kind_hopper         0.03     5.316MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.67     92.39MiB/13.59GiB   0.66     776kB/1.37MB   21.7MB/28.9MB   36
79d6783ef51b   firefox-15.0        18.03    77.91MiB/13.59GiB   0.56     0B/0B          0B/63.6MB       19
55778b07e062   kind_hopper         0.05     5.32MiB/13.59GiB    0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.64     92.39MiB/13.59GiB   0.66     779kB/1.37MB   21.7MB/28.9MB   36
79d6783ef51b   firefox-15.0        15.38    78.24MiB/13.59GiB   0.56     0B/0B          0B/65.6MB       19
55778b07e062   kind_hopper         0.04     5.32MiB/13.59GiB    0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   1.52     92.39MiB/13.59GiB   0.66     780kB/1.37MB   21.7MB/28.9MB   36
79d6783ef51b   firefox-15.0        14.86    78.32MiB/13.59GiB   0.56     0B/0B          0B/67.7MB     19
55778b07e062   kind_hopper         0.04     5.324MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.56     92.39MiB/13.59GiB   0.66     782kB/1.38MB   21.7MB/29MB   36
79d6783ef51b   firefox-15.0        20.23    78.68MiB/13.59GiB   0.57     0B/0B          0B/68.7MB     19
55778b07e062   kind_hopper         0.05     5.324MiB/13.59GiB   0.04     0B/0B          0B/0B         5
32a44ec76e17   mongo_destination   0.70     92.39MiB/13.59GiB   0.66     784kB/1.38MB   21.7MB/29MB   36
79d6783ef51b   firefox-15.0        0.16     79.98MiB/13.59GiB   0.57     0B/0B          0B/68.7MB       19
55778b07e062   kind_hopper         0.04     5.324MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.66     92.39MiB/13.59GiB   0.66     786kB/1.38MB   21.7MB/29.2MB   36
79d6783ef51b   firefox-15.0        3.38     77.92MiB/13.59GiB   0.56     0B/0B          0B/68.7MB       19
55778b07e062   kind_hopper         0.04     5.324MiB/13.59GiB   0.04     0B/0B          0B/0B           5
32a44ec76e17   mongo_destination   0.70     92.39MiB/13.59GiB   0.66     787kB/1.38MB   21.7MB/29.2MB   36
32a44ec76e17   mongo_destination   0.58     92.36MiB/13.59GiB   0.66     789kB/1.38MB   21.7MB/29.2MB   35
