,index,_id,timestamp,sensor,target,groups,power
289,289,666f7abb64942742770025e0,2024-06-16 23:52:27.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36567252992.0, 'time_enabled': 112011809091.0, 'time_running': 112011809091.0}}}}",36567.252992
290,290,666f7abc64942742770025e1,2024-06-16 23:52:28.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36750491648.0, 'time_enabled': 113011945787.0, 'time_running': 113011945787.0}}}}",36750.491648
291,291,666f7abd64942742770025e2,2024-06-16 23:52:29.042,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 31891062784.0, 'time_enabled': 114012020116.0, 'time_running': 114012020116.0}}}}",31891.062784
292,292,666f7abe64942742770025e3,2024-06-16 23:52:30.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38036242432.0, 'time_enabled': 115012079056.0, 'time_running': 115012079056.0}}}}",38036.242432
293,293,666f7abf64942742770025e4,2024-06-16 23:52:31.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 44362891264.0, 'time_enabled': 116012180957.0, 'time_running': 116012180957.0}}}}",44362.891264
294,294,666f7ac064942742770025e5,2024-06-16 23:52:32.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 31448694784.0, 'time_enabled': 117012264593.0, 'time_running': 117012264593.0}}}}",31448.694784
295,295,666f7ac164942742770025e6,2024-06-16 23:52:33.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38532349952.0, 'time_enabled': 118012374349.0, 'time_running': 118012374349.0}}}}",38532.349952
296,296,666f7ac264942742770025e7,2024-06-16 23:52:34.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38304350208.0, 'time_enabled': 119012466612.0, 'time_running': 119012466612.0}}}}",38304.350208
297,297,666f7ac364942742770025e8,2024-06-16 23:52:35.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 32342671360.0, 'time_enabled': 120012553674.0, 'time_running': 120012553674.0}}}}",32342.67136
298,298,666f7ac464942742770025e9,2024-06-16 23:52:36.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36063870976.0, 'time_enabled': 121012646729.0, 'time_running': 121012646729.0}}}}",36063.870976
299,299,666f7ac564942742770025ea,2024-06-16 23:52:37.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 30552817664.0, 'time_enabled': 122012762876.0, 'time_running': 122012762876.0}}}}",30552.817664
300,300,666f7ac664942742770025eb,2024-06-16 23:52:38.043,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36905943040.0, 'time_enabled': 123012864446.0, 'time_running': 123012864446.0}}}}",36905.94304
301,301,666f7ac764942742770025ec,2024-06-16 23:52:39.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36675846144.0, 'time_enabled': 124013045055.0, 'time_running': 124013045055.0}}}}",36675.846144
302,302,666f7ac864942742770025ed,2024-06-16 23:52:40.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 32343457792.0, 'time_enabled': 125013092393.0, 'time_running': 125013092393.0}}}}",32343.457792
303,303,666f7ac964942742770025ee,2024-06-16 23:52:41.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 38460194816.0, 'time_enabled': 126013156533.0, 'time_running': 126013156533.0}}}}",38460.194816
304,304,666f7aca64942742770025ef,2024-06-16 23:52:42.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 33457176576.0, 'time_enabled': 127013281187.0, 'time_running': 127013281187.0}}}}",33457.176576
305,305,666f7acb64942742770025f0,2024-06-16 23:52:43.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34832973824.0, 'time_enabled': 128013393096.0, 'time_running': 128013393096.0}}}}",34832.973824
306,306,666f7acc64942742770025f1,2024-06-16 23:52:44.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 32783269888.0, 'time_enabled': 129013518822.0, 'time_running': 129013518822.0}}}}",32783.269888
307,307,666f7acd64942742770025f2,2024-06-16 23:52:45.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 36385718272.0, 'time_enabled': 130013617637.0, 'time_running': 130013617637.0}}}}",36385.718272
308,308,666f7ace64942742770025f3,2024-06-16 23:52:46.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 33772077056.0, 'time_enabled': 131013770203.0, 'time_running': 131013770203.0}}}}",33772.077056
309,309,666f7acf64942742770025f4,2024-06-16 23:52:47.044,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 30233985024.0, 'time_enabled': 132013805218.0, 'time_running': 132013805218.0}}}}",30233.985024
310,310,666f7ad064942742770025f5,2024-06-16 23:52:48.045,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 37057658880.0, 'time_enabled': 133013937926.0, 'time_running': 133013937926.0}}}}",37057.65888
311,311,666f7ad164942742770025f6,2024-06-16 23:52:49.045,artur-B450M-DS3H,all,"{'rapl': {'0': {'7': {'RAPL_ENERGY_PKG': 34205925376.0, 'time_enabled': 134014029868.0, 'time_running': 134014029868.0}}}}",34205.925376
